2021-12-22 15:44:33	scdCo2 : 1010 scdTemperature : 30.93 scdHumidity : 22.44	 bmeTemperature : 33.08 bmePressure : 994.05 bmeHumidity : 17.61 bmeGas : 42.69 bmeAltitude : 161.01
2021-12-22 15:44:39	scdCo2 : 1012 scdTemperature : 30.92 scdHumidity : 22.39	 bmeTemperature : 33.07 bmePressure : 994.05 bmeHumidity : 17.61 bmeGas : 43.04 bmeAltitude : 161.01
2021-12-22 15:44:45	scdCo2 : 1012 scdTemperature : 30.94 scdHumidity : 22.38	 bmeTemperature : 33.07 bmePressure : 994.06 bmeHumidity : 17.68 bmeGas : 42.91 bmeAltitude : 161.01
2021-12-22 15:44:51	scdCo2 : 1012 scdTemperature : 30.94 scdHumidity : 22.39	 bmeTemperature : 33.08 bmePressure : 994.07 bmeHumidity : 17.67 bmeGas : 43.39 bmeAltitude : 160.92
2021-12-22 15:44:57	scdCo2 : 1012 scdTemperature : 30.96 scdHumidity : 22.40	 bmeTemperature : 33.09 bmePressure : 994.05 bmeHumidity : 17.61 bmeGas : 43.30 bmeAltitude : 161.18
2021-12-22 15:45:02	scdCo2 : 1013 scdTemperature : 30.96 scdHumidity : 22.38	 bmeTemperature : 33.09 bmePressure : 994.02 bmeHumidity : 17.60 bmeGas : 43.57 bmeAltitude : 161.52
2021-12-22 15:45:08	scdCo2 : 1013 scdTemperature : 30.95 scdHumidity : 22.36	 bmeTemperature : 33.09 bmePressure : 993.99 bmeHumidity : 17.53 bmeGas : 44.15 bmeAltitude : 161.60
2021-12-22 15:45:14	scdCo2 : 1012 scdTemperature : 30.97 scdHumidity : 22.32	 bmeTemperature : 33.10 bmePressure : 994.00 bmeHumidity : 17.65 bmeGas : 43.74 bmeAltitude : 161.52
2021-12-22 15:45:20	scdCo2 : 1012 scdTemperature : 30.98 scdHumidity : 22.31	 bmeTemperature : 33.12 bmePressure : 994.00 bmeHumidity : 17.68 bmeGas : 43.79 bmeAltitude : 161.52
2021-12-22 15:45:26	scdCo2 : 1011 scdTemperature : 30.99 scdHumidity : 22.32	 bmeTemperature : 33.13 bmePressure : 994.00 bmeHumidity : 17.65 bmeGas : 44.29 bmeAltitude : 161.60
2021-12-22 15:45:31	scdCo2 : 1012 scdTemperature : 31.00 scdHumidity : 22.32	 bmeTemperature : 33.13 bmePressure : 993.99 bmeHumidity : 17.77 bmeGas : 44.34 bmeAltitude : 161.52
2021-12-22 15:45:37	scdCo2 : 1012 scdTemperature : 30.97 scdHumidity : 22.35	 bmeTemperature : 33.12 bmePressure : 994.00 bmeHumidity : 17.95 bmeGas : 44.34 bmeAltitude : 161.52
2021-12-22 15:45:43	scdCo2 : 1011 scdTemperature : 30.96 scdHumidity : 22.37	 bmeTemperature : 33.10 bmePressure : 994.00 bmeHumidity : 17.93 bmeGas : 44.29 bmeAltitude : 161.52
2021-12-22 15:45:49	scdCo2 : 1011 scdTemperature : 30.98 scdHumidity : 22.37	 bmeTemperature : 33.09 bmePressure : 994.00 bmeHumidity : 17.75 bmeGas : 44.66 bmeAltitude : 161.52
2021-12-22 15:45:55	scdCo2 : 1011 scdTemperature : 30.96 scdHumidity : 22.37	 bmeTemperature : 33.08 bmePressure : 994.01 bmeHumidity : 17.57 bmeGas : 45.52 bmeAltitude : 161.43
2021-12-22 15:46:00	scdCo2 : 1012 scdTemperature : 30.98 scdHumidity : 22.33	 bmeTemperature : 33.09 bmePressure : 994.00 bmeHumidity : 17.74 bmeGas : 44.85 bmeAltitude : 161.52
2021-12-22 15:46:06	scdCo2 : 1012 scdTemperature : 30.99 scdHumidity : 22.36	 bmeTemperature : 33.09 bmePressure : 993.99 bmeHumidity : 17.85 bmeGas : 45.33 bmeAltitude : 161.60
2021-12-22 15:46:12	scdCo2 : 1013 scdTemperature : 31.00 scdHumidity : 22.31	 bmeTemperature : 33.09 bmePressure : 993.98 bmeHumidity : 17.88 bmeGas : 45.42 bmeAltitude : 161.60
2021-12-22 15:46:18	scdCo2 : 1012 scdTemperature : 31.00 scdHumidity : 22.28	 bmeTemperature : 33.08 bmePressure : 993.99 bmeHumidity : 17.82 bmeGas : 45.67 bmeAltitude : 161.60
2021-12-22 15:46:24	scdCo2 : 1012 scdTemperature : 30.99 scdHumidity : 22.32	 bmeTemperature : 33.08 bmePressure : 994.00 bmeHumidity : 17.86 bmeGas : 45.37 bmeAltitude : 161.52
2021-12-22 15:46:29	scdCo2 : 1010 scdTemperature : 30.99 scdHumidity : 22.35	 bmeTemperature : 33.07 bmePressure : 994.01 bmeHumidity : 17.98 bmeGas : 45.67 bmeAltitude : 161.43
2021-12-22 15:46:35	scdCo2 : 1010 scdTemperature : 31.00 scdHumidity : 22.38	 bmeTemperature : 33.07 bmePressure : 994.01 bmeHumidity : 18.09 bmeGas : 45.81 bmeAltitude : 161.43
2021-12-22 15:46:41	scdCo2 : 1010 scdTemperature : 31.00 scdHumidity : 22.38	 bmeTemperature : 33.07 bmePressure : 993.99 bmeHumidity : 18.22 bmeGas : 45.71 bmeAltitude : 161.60
